ChanIndex,ChanName,SelectFreq,MeanAbsBeta
94,E99,1,0.228681005351334
1,E1,0,0
2,E2,0,0
3,E3,0,0
4,E4,0,0
5,E5,0,0
6,E6,0,0
7,E7,0,0
8,E8,0,0
9,E9,0,0
10,E10,0,0
11,E11,0,0
12,E12,0,0
13,E13,0,0
14,E14,0,0
15,E15,0,0
16,E16,0,0
17,E17,0,0
18,E18,0,0
19,E19,0,0
20,E20,0,0
21,E21,0,0
22,E22,0,0
23,E23,0,0
24,E24,0,0
25,E25,0,0
26,E26,0,0
27,E27,0,0
28,E28,0,0
29,E29,0,0
30,E30,0,0
31,E31,0,0
32,E32,0,0
33,E33,0,0
34,E34,0,0
35,E35,0,0
36,E36,0,0
37,E37,0,0
38,E38,0,0
39,E39,0,0
40,E40,0,0
41,E41,0,0
42,E42,0,0
43,E43,0,0
44,E44,0,0
45,E45,0,0
46,E46,0,0
47,E47,0,0
48,E48,0,0
49,E49,0,0
50,E50,0,0
51,E51,0,0
52,E52,0,0
53,E53,0,0
54,E54,0,0
55,E55,0,0
56,E56,0,0
57,E58,0,0
58,E59,0,0
59,E60,0,0
60,E61,0,0
61,E62,0,0
62,E63,0,0
63,E64,0,0
64,E65,0,0
65,E66,0,0
66,E67,0,0
67,E69,0,0
68,E70,0,0
69,E71,0,0
70,E72,0,0
71,E74,0,0
72,E75,0,0
73,E76,0,0
74,E77,0,0
75,E78,0,0
76,E79,0,0
77,E80,0,0
78,E81,0,0
79,E82,0,0
80,E83,0,0
81,E84,0,0
82,E85,0,0
83,E86,0,0
84,E87,0,0
85,E89,0,0
86,E90,0,0
87,E91,0,0
88,E92,0,0
89,E93,0,0
90,E95,0,0
91,E96,0,0
92,E97,0,0
93,E98,0,0
95,E101,0,0
96,E102,0,0
97,E103,0,0
98,E104,0,0
99,E105,0,0
100,E106,0,0
101,E107,0,0
102,E108,0,0
103,E109,0,0
104,E110,0,0
105,E111,0,0
106,E112,0,0
107,E113,0,0
108,E114,0,0
109,E115,0,0
110,E116,0,0
111,E117,0,0
112,E118,0,0
113,E119,0,0
114,E120,0,0
115,E121,0,0
116,E122,0,0
117,E123,0,0
118,E124,0,0
119,E125,0,0
120,E128,0,0
121,E129,0,0
